########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

144384	4.77052e-06
144512	4.93825e-06
144640	3.28536e-06
144768	3.58828e-06
144896	3.45105e-06
145024	5.04296e-06
145152	3.56336e-06
145280	3.49181e-06
145408	3.99576e-06
145536	3.39425e-06
145664	3.01472e-06
145792	3.42447e-06
145920	4.63077e-06
146048	2.86056e-06
146176	2.66247e-06
146304	2.54931e-06
146432	2.38005e-06
146560	4.08667e-06
146688	2.31235e-06
146816	2.30219e-06
146944	2.56619e-06
147072	2.34796e-06
147200	2.7976e-06
147328	1.54279e-06
147456	1.90799e-06
147584	2.18307e-06
147712	1.64851e-06
147840	2.29322e-06
147968	2.09396e-06
148096	1.78818e-06
148224	2.11575e-06
148352	1.82033e-06
148480	1.5843e-06
148608	1.79946e-06
148736	1.76725e-06
148864	1.48451e-06
148992	1.83527e-06
149120	1.67209e-06
149248	1.66502e-06
149376	1.61484e-06
149504	1.55629e-06
149632	1.64523e-06
149760	1.57841e-06
149888	1.49646e-06
150016	1.44673e-06
150144	1.42049e-06
150272	1.75689e-06
150400	1.36834e-06
150528	1.48487e-06
150656	1.28983e-06
150784	1.36397e-06
150912	1.18103e-06
151040	1.2502e-06
151168	1.12417e-06
151296	1.18692e-06
151424	1.25604e-06
151552	1.07182e-06
151680	1.14849e-06
151808	1.06113e-06
151936	1.20516e-06
152064	9.69696e-07
152192	1.00876e-06
152320	1.01132e-06
152448	1.09475e-06
152576	9.84691e-07
152704	9.63871e-07
152832	9.80313e-07
152960	9.57734e-07
153088	9.91515e-07
153216	1.02879e-06
153344	8.7442e-07
153472	8.66017e-07
153600	8.74095e-07
153728	8.42195e-07
153856	7.84206e-07
153984	8.41132e-07
154112	7.13159e-07
154240	7.85913e-07
154368	7.15104e-07
154496	7.50413e-07
154624	7.52853e-07
154752	6.56188e-07
154880	6.49564e-07
155008	7.05669e-07
155136	5.96091e-07
155264	6.17533e-07
155392	5.93578e-07
155520	6.34151e-07
155648	5.66217e-07
155776	5.57616e-07
155904	5.44248e-07
156032	5.2175e-07
156160	5.52311e-07
156288	5.31984e-07
156416	4.67562e-07
156544	4.85785e-07
156672	4.62684e-07
156800	4.7374e-07
156928	4.75466e-07
157056	4.27473e-07
157184	4.12772e-07
157312	3.99674e-07
157440	3.56731e-07
157568	3.70184e-07
157696	3.53256e-07
157824	3.62574e-07
157952	3.39213e-07
158080	3.21211e-07
158208	2.96397e-07
