########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

166016	0.183008
166144	0.183237
166272	0.183330
166400	0.183524
166528	0.183386
166656	0.183324
166784	0.183136
166912	0.183282
167040	0.183133
167168	0.183141
167296	0.183031
167424	0.182923
167552	0.183335
167680	0.183263
167808	0.183239
167936	0.183009
168064	0.183363
168192	0.182703
168320	0.182741
168448	0.183102
168576	0.182717
168704	0.183176
168832	0.182863
168960	0.183224
169088	0.183066
169216	0.182927
169344	0.182994
169472	0.183050
169600	0.183248
169728	0.183603
169856	0.189561
169984	0.374374
170112	0.904853
170240	0.580891
170368	0.328936
170496	0.188615
170624	0.187431
170752	0.187016
170880	0.187969
171008	0.187302
171136	0.187017
171264	0.186117
171392	0.185318
171520	0.185880
171648	0.185808
171776	0.185797
171904	0.185674
172032	0.185630
172160	0.185710
172288	0.185862
172416	0.185034
172544	0.185388
172672	0.184928
172800	0.185316
172928	0.184950
173056	0.184949
173184	0.185179
173312	0.185049
173440	0.184568
173568	0.184656
173696	0.184459
173824	0.184363
173952	0.184596
174080	0.184288
174208	0.184643
174336	0.184070
174464	0.184286
174592	0.184235
174720	0.184174
174848	0.184309
174976	0.184326
175104	0.184041
175232	0.184202
175360	0.183972
175488	0.183784
175616	0.184129
175744	0.183805
175872	0.183588
176000	0.183914
176128	0.184061
176256	0.183931
176384	0.183689
176512	0.183797
176640	0.183703
176768	0.183933
176896	0.183746
177024	0.183760
177152	0.183767
177280	0.183748
177408	0.183391
177536	0.183728
177664	0.183812
177792	0.183816
177920	0.183378
178048	0.183520
178176	0.183572
178304	0.183535
178432	0.183480
178560	0.183488
178688	0.183398
178816	0.183665
178944	0.183188
179072	0.183489
179200	0.183536
179328	0.183279
179456	0.183117
179584	0.183243
179712	0.183192
179840	0.183250
179968	0.183209
180096	0.183210
180224	0.183157
180352	0.182986
180480	0.183020
180608	0.183158
180736	0.182742
180864	0.183087
180992	0.183103
181120	0.182927
181248	0.183054
181376	0.182781
181504	0.183332
181632	0.183748
181760	0.185609
181888	0.241562
182016	0.495899
182144	0.191615
182272	0.190621
182400	0.194905
182528	0.190406
182656	0.184698
182784	0.183646
182912	0.184464
183040	0.184153
183168	0.184050
183296	0.183589
183424	0.183825
183552	0.183445
183680	0.183219
183808	0.183639
183936	0.183577
184064	0.183446
184192	0.183272
184320	0.183147
184448	0.183657
184576	0.183183
184704	0.183339
184832	0.183343
184960	0.183488
185088	0.183450
185216	0.183280
185344	0.183652
185472	0.183518
185600	0.183126
185728	0.183092
185856	0.183145
185984	0.183288
186112	0.183286
186240	0.183152
186368	0.183695
186496	0.183454
186624	0.183348
186752	0.183259
186880	0.183302
187008	0.183350
187136	0.183328
187264	0.183092
187392	0.183144
187520	0.182910
187648	0.183080
187776	0.183146
187904	0.183054
188032	0.182894
188160	0.182905
188288	0.182887
188416	0.182687
188544	0.184577
188672	0.183159
188800	0.183274
188928	0.183077
189056	0.182868
189184	0.183131
189312	0.183136
189440	0.183188
189568	0.182691
189696	0.183068
189824	0.182990
189952	0.182852
190080	0.182772
190208	0.183017
190336	0.182681
190464	0.183098
190592	0.182765
190720	0.182798
190848	0.182780
190976	0.182512
191104	0.182636
191232	0.182247
191360	0.182472
191488	0.182565
191616	0.182505
191744	0.185972
191872	0.184792
192000	0.183787
192128	0.183080
192256	0.183142
192384	0.182841
192512	0.182726
192640	0.183199
192768	0.182667
192896	0.182536
193024	0.182523
193152	0.182753
193280	0.182825
193408	0.182514
193536	0.182480
193664	0.182475
193792	0.182545
193920	0.182739
194048	0.182435
194176	0.182494
194304	0.182353
194432	0.182446
194560	0.181998
194688	0.182606
194816	0.182820
194944	0.182529
195072	0.182483
195200	0.182682
195328	0.182379
195456	0.182716
195584	0.182075
195712	0.182266
195840	0.182462
195968	0.182291
196096	0.182224
196224	0.182377
196352	0.184677
196480	0.527353
196608	0.224016
196736	0.185397
196864	0.184741
196992	0.184004
197120	0.183847
197248	0.183793
197376	0.184364
197504	0.183958
197632	0.183801
197760	0.183796
197888	0.183430
198016	0.183671
198144	0.183973
198272	0.183231
198400	0.183663
198528	0.183792
198656	0.183405
198784	0.183589
198912	0.183217
199040	0.182994
199168	0.183369
199296	0.183234
199424	0.183234
199552	0.182848
199680	0.183270
199808	0.183418
199936	0.183260
200064	0.183000
200192	0.182969
200320	0.183264
200448	0.183128
200576	0.183004
200704	0.182936
200832	0.183441
200960	0.183218
201088	0.183104
201216	0.183214
201344	0.183701
201472	0.183974
201600	0.183213
201728	0.183166
201856	0.183281
201984	0.183017
202112	0.183169
202240	0.182853
202368	0.182953
202496	0.182683
202624	0.183026
202752	0.182913
202880	0.183010
203008	0.183094
203136	0.182914
203264	0.183014
203392	0.183006
203520	0.182976
203648	0.183112
203776	0.182572
203904	0.182952
204032	0.182676
204160	0.183036
204288	0.182575
204416	0.182882
204544	0.182956
204672	0.182880
204800	0.182739
204928	0.182794
205056	0.182529
205184	0.182602
205312	0.182414
205440	0.182556
205568	0.182775
205696	0.182765
205824	0.182330
205952	0.182781
206080	0.182613
206208	0.182878
206336	0.182547
206464	0.182632
206592	0.182522
206720	0.182727
206848	0.182652
206976	0.182438
207104	0.182334
207232	0.182437
207360	0.182331
207488	0.182789
207616	0.182552
207744	0.182471
207872	0.182062
208000	0.182684
208128	0.182320
208256	0.182611
208384	0.182219
208512	0.182474
208640	0.182307
208768	0.182697
208896	0.182948
209024	0.182908
209152	0.194355
209280	0.195138
209408	0.770164
209536	0.200319
209664	0.188351
209792	0.186626
209920	0.185749
210048	0.185589
210176	0.185723
210304	0.184879
210432	0.184741
210560	0.184817
210688	0.184432
210816	0.184430
210944	0.183901
211072	0.184197
211200	0.184196
211328	0.184438
211456	0.183877
211584	0.183992
211712	0.184225
211840	0.184062
211968	0.184213
212096	0.183913
212224	0.183593
212352	0.183904
212480	0.183821
212608	0.183441
212736	0.183363
212864	0.183779
212992	0.183443
213120	0.183524
213248	0.183146
