########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

213376	0.287194
213504	0.210399
213632	0.201123
213760	0.199663
213888	0.198657
214016	0.197879
214144	0.197348
214272	0.196700
214400	0.196270
214528	0.196238
214656	0.196061
214784	0.196525
214912	0.201256
215040	0.223479
215168	0.304686
215296	0.305318
215424	0.286271
215552	0.211349
215680	0.202002
215808	0.199816
215936	0.198793
216064	0.198055
216192	0.197429
216320	0.196941
216448	0.196414
216576	0.196123
216704	0.195379
216832	0.194969
216960	0.195261
217088	0.195369
217216	0.199379
217344	0.229884
217472	0.361152
217600	0.298526
217728	0.270051
217856	0.207995
217984	0.200957
218112	0.199443
218240	0.198711
218368	0.197842
218496	0.197288
218624	0.196514
218752	0.196052
218880	0.195781
219008	0.195291
219136	0.195341
219264	0.194780
219392	0.194513
219520	0.194319
219648	0.194384
219776	0.198470
219904	0.245935
220032	0.435982
220160	0.248362
220288	0.231403
